Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
ERNA10	Ericameria nauseosa	rubber rabbitbrush	doc pdf	doc pdf
ERMA8	Erigeron maguirei	Maguire's fleabane	 	doc pdf
ERPH	Erigeron philadelphicus	Philadelphia fleabane	 	doc pdf
ERSE5	Eriochloa sericea	Texas cupgrass	doc pdf	doc pdf
ERCA6	Eriodictyon californicum	California yerba santa	 	doc pdf
ERCON	Eriogonum corymbosum var. nilesii	Las Vegas wild buckwheat	 	doc pdf
ERFA2	Eriogonum fasciculatum	Eastern Mojave buckwheat	 	doc pdf
ERHE2	Eriogonum heracleoides	parsnipflower buckwheat	 	doc pdf
ERNI2	Eriogonum niveum	snow buckwheat	 	doc pdf
ERNU3	Eriogonum nudum	naked buckwheat	 	doc pdf
ERPE10	Eriogonum pelinophilum	clay-loving buckwheat	doc pdf	doc pdf
ERSO2	Eriogonum soredium	Frisco buckwheat	 	doc pdf
ERUM	Eriogonum umbellatum	sulphur-flower buckwheat	doc pdf	doc pdf
ERLA6	Eriophyllum lanatum	common woolly sunflower	doc pdf	doc pdf
ERAQ	Eryngium aquaticum	rattlesnakemaster	 	doc pdf
ERYU	Eryngium yuccifolium	button eryngo	doc pdf	 
ESCA2	Eschscholzia californica	California poppy	 	doc pdf
EUAM9	Euonymus americanus	bursting-heart	 	 
EUAM7	Euonymus americana		 	doc pdf
EUBU5	Euonymus bungeanus	winterberry euonymus	 	 
EUBU6	Euonymus bungeanum		doc pdf	 
EUPE3	Eupatorium perfoliatum	common boneset	doc pdf	 
EUES	Euphorbia esula	leafy spurge	 	doc pdf
EUGL5	Eustachys glauca	saltmarsh fingergrass	doc pdf	 
EUGR5	Euthamia graminifolia	flat-top goldentop	doc pdf	doc pdf
EUPE10	Eutrema penlandii	Penland's eutrema	doc pdf	doc pdf
EUFI14	Eutrochium fistulosum	trumpetweed	 	 
EUFI2	Eupatoriadelphus fistulosus		doc pdf	 
EUMAM4	Eutrochium maculatum var. maculatum	spotted joe pye weed	 	 
EUMAM3	Eupatoriadelphus maculatus var. maculatus		doc pdf	 
EYTE	Eysenhardtia texana	Texas kidneywood	doc pdf	 
FAES2	Fagopyrum esculentum	buckwheat	 	doc pdf
FEAM5	Festuca ammobia	sand fescue	doc pdf	 
FEAR2	Festuca arizonica	Arizona fescue	doc pdf	doc pdf
FEBR7	Festuca brevipila	hard fescue	doc pdf	 
FETR3	Festuca trachyphylla		doc pdf	 
FECA	Festuca californica	California fescue	doc pdf	 
FECA4	Festuca campestris	rough fescue	 	doc pdf
FEID	Festuca idahoensis	Idaho fescue	 	doc pdf
FEIDR2	Festuca idahoensis ssp. roemeri	Roemer's fescue	 	 
FERO	Festuca roemeri		doc pdf	 
FEOV	Festuca ovina	sheep fescue	 	doc pdf
FERU2	Festuca rubra	red fescue	doc pdf	doc pdf
FERUA3	Festuca rubra ssp. arenaria	red fescue	doc pdf	 
FOPU2	Forestiera pubescens	stretchberry	doc pdf	 
FRCH	Fragaria chiloensis	beach strawberry	 	doc pdf
FRCHC	Fragaria chiloensis ssp. chiloensis	beach strawberry	 	doc pdf
FRCHL	Fragaria chiloensis ssp. lucida	beach strawberry	 	doc pdf
FRCHP	Fragaria chiloensis ssp. pacifica	Pacific beach strawberry	 	doc pdf
FRCHS2	Fragaria chiloensis ssp. sandwicensis	Sandwich beach strawberry	 	doc pdf
FRVE	Fragaria vesca	woodland strawberry	 	doc pdf
FRVI	Fragaria virginiana	Virginia strawberry	 	doc pdf
FRCA12	Frangula californica	California buckthorn	 	doc pdf
FRAM2	Fraxinus americana	white ash	 	doc pdf
FRNI	Fraxinus nigra	black ash	doc pdf	doc pdf
FRPE	Fraxinus pennsylvanica	green ash	doc pdf	doc pdf
FRCA6	Fremontodendron californicum	California flannelbush	 	doc pdf
FRAF2	Fritillaria affinis	checker lily	 	doc pdf
FRCA5	Fritillaria camschatcensis	Kamchatka fritillary	 	doc pdf
GAAR	Gaillardia aristata	blanketflower	doc pdf	doc pdf
GEVI2	Geranium viscosissimum	sticky purple geranium	 	doc pdf
GINKG	Ginkgo	ginkgo	 	doc pdf
GLSU	Glaucocarpum suffrutescens	Uinta Basin waxfruit	 	doc pdf
GLHE2	Glechoma hederacea	ground ivy	 	doc pdf
GLTR	Gleditsia triacanthos	honeylocust	doc pdf	doc pdf
GLLE2	Glyceria leptostachya	davy mannagrass	doc pdf	 
GLOC	Glyceria ¡Áoccidentalis	northwestern mannagrass	doc pdf	 
GLST	Glyceria striata	fowl mannagrass	doc pdf	 
GLEL	Glyceria elata		doc pdf	 
GLLE3	Glycyrrhiza lepidota	American licorice	doc pdf	doc pdf
GOPU	Goodyera pubescens	downy rattlesnake plantain	doc pdf	 
GRCA	Grindelia camporum	Great Valley gumweed	 	doc pdf
GRIN	Grindelia integrifolia	Puget Sound gumweed	doc pdf	 
GRSQ	Grindelia squarrosa	curlycup gumweed	 	doc pdf
GUSA2	Gutierrezia sarothrae	broom snakeweed	 	doc pdf
GYDI	Gymnocladus dioicus	Kentucky coffeetree	doc pdf	doc pdf
HAGL	Halogeton glomeratus	saltlover	 	doc pdf
HEBO	Hedysarum boreale	Utah sweetvetch	doc pdf	doc pdf
HEUN	Helianthella uniflora	oneflower helianthella	 	doc pdf
HEAN3	Helianthus annuus	common sunflower	 	doc pdf
HEDED	Helianthus debilis ssp. debilis	cucumberleaf sunflower	doc pdf	 
HEMA2	Helianthus maximiliani	Maximilian sunflower	doc pdf	doc pdf
HEMO2	Helianthus mollis	ashy sunflower	 	doc pdf
HEPA19	Helianthus pauciflorus	stiff sunflower	doc pdf	 
HEMU3	Heliomeris multiflora	showy goldeneye	 	doc pdf
HEHE5	Heliopsis helianthoides	smooth oxeye	doc pdf	doc pdf
HEHES	Heliopsis helianthoides var. scabra	smooth oxeye	doc pdf	 
HEIN	Heliotropium indicum	Indian heliotrope	 	doc pdf
HEFA	Hemizonia fasciculata	clustered tarweed	 	doc pdf
HEAR22	Hesperocyparis arizonica	Arizona cypress	 	 
CUAR	Cupressus arizonica		doc pdf	 
HECO26	Hesperostipa comata	needle and thread	 	doc pdf
HECOC8	Hesperostipa comata ssp. comata	needle and thread	doc pdf	 
HEWH	Hesperoyucca whipplei	chaparral yucca	 	 
YUWH	Yucca whipplei		 	doc pdf
HEAR5	Heteromeles arbutifolia	toyon	 	doc pdf
HECO10	Heteropogon contortus	tanglehead	doc pdf	 
HIHIA	Hierochloe hirta ssp. arctica	northern sweetgrass	doc pdf	doc pdf
HIOD	Hierochloe odorata	sweetgrass	doc pdf	doc pdf
HIBE	Hilaria belangeri	curly-mesquite	doc pdf	 
HODI	Holodiscus discolor	oceanspray	doc pdf	 
HOBR2	Hordeum brachyantherum	meadow barley	doc pdf	 
HOVU	Hordeum vulgare	common barley	 	doc pdf
HOAQ	Howellia aquatilis	water howellia	 	doc pdf
HUTO	Hudsonia tomentosa	woolly beachheather	doc pdf	 
HYCA	Hydrastis canadensis	goldenseal	 	doc pdf
HYOV	Hydrolea ovata	ovate false fiddleleaf	 	doc pdf
HYHYH	Hypericum hypericoides ssp. hypericoides	St. Andrew's cross	 	doc pdf
HYPE	Hypericum perforatum	common St. Johnswort	doc pdf	doc pdf
ILGL	Ilex glabra	inkberry	 	doc pdf
ILOP	Ilex opaca	American holly	doc pdf	 
ILVE	Ilex verticillata	common winterberry	doc pdf	 
ILVO	Ilex vomitoria	yaupon	doc pdf	doc pdf
INMI	Indigofera miniata	coastal indigo	 	 
