Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
URRA	Urochloa ramosa	browntop millet	 	doc pdf
VACO	Vaccinium corymbosum	highbush blueberry	doc pdf	doc pdf
VADE	Vaccinium deliciosum	Cascade bilberry	 	doc pdf
VAME	Vaccinium membranaceum	thinleaf huckleberry	 	doc pdf
VAOV2	Vaccinium ovatum	California huckleberry	 	doc pdf
VAOX	Vaccinium oxycoccos	small cranberry	 	doc pdf
VAPA	Vaccinium parvifolium	red huckleberry	 	doc pdf
VASC	Vaccinium scoparium	grouse whortleberry	 	doc pdf
VEDU	Ventenata dubia	North Africa grass	 	doc pdf
VEHA2	Verbena hastata	swamp verbena	doc pdf	 
VEVI4	Veronicastrum virginicum	Culver's root	doc pdf	 
VEZI80	Vetiveria zizanioides	vetivergrass	 	 
CHZI	Chrysopogon zizanioides		 	doc pdf
VIAC	Viburnum acerifolium	mapleleaf viburnum	doc pdf	doc pdf
VIDE	Viburnum dentatum	southern arrowwood	doc pdf	doc pdf
VIDED4	Viburnum dentatum var. dentatum	southern arrowwood	doc pdf	doc pdf
VIDEV	Viburnum dentatum var. venosum	southern arrowwood	doc pdf	doc pdf
VILE	Viburnum lentago	nannyberry	doc pdf	doc pdf
VIOPA2	Viburnum opulus var. americanum	American cranberrybush	doc pdf	doc pdf
VIAM	Vicia americana	American vetch	doc pdf	doc pdf
VILU	Vicia ludoviciana	Louisiana vetch	 	doc pdf
VIVI	Vicia villosa	winter vetch	doc pdf	 
VIVIV8	Vicia villosa ssp. varia	winter vetch	 	doc pdf
VILU3	Vigna luteola	hairypod cowpea	doc pdf	 
VIUN	Vigna unguiculata	cowpea	 	doc pdf
VIUNS2	Vigna unguiculata ssp. sesquipedalis	yardlong bean	 	doc pdf
VIMI2	Vinca minor	common periwinkle	doc pdf	 
VIAD	Viola adunca	hookedspur violet	 	doc pdf
VUMY	Vulpia myuros	annual fescue	 	doc pdf
WAFI	Washingtonia filifera	California fan palm	 	doc pdf
WEACH	Wedelia acapulcensis var. hispida	hairy wedelia	 	 
WETE	Wedelia texana		doc pdf	 
XETE	Xerophyllum tenax	common beargrass	 	doc pdf
YUFI	Yucca filamentosa	Adam's needle	 	doc pdf
ZAPU	Zamia pumila	coontie	 	doc pdf
ZAAM	Zanthoxylum americanum	common pricklyash	 	doc pdf
ZEME	Zea mexicana	Mexican teosinte	doc pdf	 
ZIVE	Zigadenus venenosus	meadow deathcamas	 	doc pdf
ZIAC	Zinnia acerosa	desert zinnia	 	doc pdf
ZIMI	Zizaniopsis miliacea	giant cutgrass	doc pdf	 
ZIAU	Zizia aurea	golden zizia	doc pdf	 
ZOMA	Zostera marina	seawrack	doc pdf
